,Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,# Mediated Associates,# Potential Non-Normed Mediators,Shared Associate Strength,# Shared Associates,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Cue Concreteness(Scale 1-7),Cue Homograph? (Letter=Yes),Cue Part of Speech,Mean Cue Connectivity,Cue Connectivity Strength,Cue Resonance Probability,Cue Resonance Strength,Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F),Target Concreteness(Scale 1-7),Target Homograph? (Letter=Yes),Target Part of Speech,Mean Target Connectivity,Target Connectivity Strength,Target Resonance Probability,Target Resonance Strength,# of Other Associate Links to Target,Strength of Other Associate Links to Target
25202,FORBIDDEN,PROHIBIT,YES,141.0,2.0,0.014,0,0.0,0.0,4.0,0.0112,4.0,20.0,11.0,0.316,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,20,16,0.523,2,2.93,,V,2.05,3.15,0.15,1.1,missing,missing
25203,FORBIDDEN,RESTRICTION,YES,141.0,3.0,0.021,0,0.001,3.0,4.0,0.0034,3.0,20.0,10.0,0.268,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,14,9,0.439,8,missing,,N,missing,missing,missing,missing,missing,missing
25204,FORBIDDEN,SACRED,YES,141.0,2.0,0.014,0,0.0,1.0,4.0,0.0008,2.0,20.0,12.0,0.426,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,21,17,0.598,38,missing,,AJ,2.16,3.77,0.11,1.08,missing,missing
25205,FORBIDDEN,SECRET,YES,141.0,3.0,0.021,0,0.0,1.0,4.0,0.0,0.0,20.0,14.0,0.461,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,24,21,0.696,52,missing,,AJ,1,2.15,0.43,1.64,missing,missing
25206,FORBIDDEN,STOP,YES,141.0,2.0,0.014,0,0.005,3.0,4.0,0.0,0.0,20.0,12.0,0.378,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,8,8,0.905,120,2.93,G,V,1.75,2.83,0.88,3.32,missing,missing
25207,FORBIDDEN,TABOO,YES,141.0,3.0,0.021,0.061,0.0,0.0,4.0,0.006,4.0,20.0,11.0,0.357,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,24,15,0.328,3,1.96,,N,1.7,2.2,0.1,1.03,0,0
25208,FORBIDDEN,TRESPASS,NO,141.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.496,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
25209,FORBIDDEN,UNABLE,NO,141.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.496,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
25210,FORBIDDEN,ZONE,YES,141.0,4.0,0.028,0,0.0,0.0,4.0,0.0,0.0,20.0,15.0,0.468,0.0,3.44,,AJ,1.31,1.78,0.06,1.06,20,19,0.697,11,3.88,,N,0.89,1.66,0.11,1.21,missing,missing
25800,FREEZE,BURN,YES,178.0,2.0,0.011,0,0.0,1.0,1.0,0.0,0.0,15.0,12.0,0.824,6.0,4.63,,V,2.79,4.84,0.36,1.4,20,19,0.669,15,4.81,,V,2.21,5.43,0.32,1.24,missing,missing
25801,FREEZE,COLD,YES,178.0,82.0,0.461,0.011,0.075,8.0,1.0,0.0147,3.0,15.0,5.0,0.061,6.0,4.63,,V,2.79,4.84,0.36,1.4,19,14,0.68,171,4.67,P,AJ,1.72,3.81,0.89,4.74,8,1.442
25802,FREEZE,DEFROST,YES,178.0,3.0,0.017,0.047,0.007,2.0,1.0,0.0702,7.0,15.0,6.0,0.084,6.0,4.63,,V,2.79,4.84,0.36,1.4,18,10,0.317,1,4.08,,V,2.78,6.29,0.17,1.16,2,0.135
25803,FREEZE,DRY,YES,178.0,3.0,0.017,0,0.0,0.0,1.0,0.0074,1.0,15.0,12.0,0.368,6.0,4.63,,V,2.79,4.84,0.36,1.4,18,17,0.826,68,3.36,W,AJ,0.83,3.32,0.39,2.07,missing,missing
25804,FREEZE,FOOD,YES,178.0,3.0,0.017,0,0.012,3.0,1.0,0.0,0.0,15.0,10.0,0.717,6.0,4.63,,V,2.79,4.84,0.36,1.4,18,16,0.717,147,5.84,,N,1.69,2.4,0.63,2.91,missing,missing
25805,FREEZE,FROSTBITE,NO,178.0,2.0,0.011,missing,0.0,0.0,0.0,0.0,0.0,15.0,14.0,0.846,6.0,4.63,,V,2.79,4.84,0.36,1.4,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
25806,FREEZE,FROZEN,YES,178.0,7.0,0.039,0.027,0.008,3.0,1.0,0.125,8.0,15.0,5.0,0.073,6.0,4.63,,V,2.79,4.84,0.36,1.4,13,4,0.285,27,5.15,,AJ,3.15,4.9,0.39,1.32,3,0.164
25807,FREEZE,ICE,YES,178.0,25.0,0.139,0,0.062,6.0,1.0,0.1686,3.0,15.0,7.0,0.101,6.0,4.63,,V,2.79,4.84,0.36,1.4,18,14,0.452,45,6.51,G,N,1.29,4.07,0.53,2.61,missing,missing
25808,FREEZE,MELT,YES,178.0,2.0,0.011,0.03,0.012,4.0,1.0,0.0253,3.0,15.0,7.0,0.551,6.0,4.63,,V,2.79,4.84,0.36,1.4,17,12,0.538,4,4.04,,V,1.5,3.23,0.25,1.06,4,0.257
25809,FREEZE,REFRIGERATOR,YES,178.0,3.0,0.017,0,0.001,1.0,1.0,0.1294,2.0,15.0,10.0,0.334,6.0,4.63,,V,2.79,4.84,0.36,1.4,9,6,0.234,23,7,,N,1.12,2.59,0.13,1.13,missing,missing
25810,FREEZE,SNOW,YES,178.0,4.0,0.022,0,0.022,6.0,1.0,0.1002,3.0,15.0,6.0,0.084,6.0,4.63,,V,2.79,4.84,0.36,1.4,14,10,0.582,59,6.05,,N,0.85,2.16,0.62,2.18,missing,missing
25811,FREEZE,SOLID,YES,178.0,2.0,0.011,0,0.001,1.0,1.0,0.0,0.0,15.0,12.0,0.796,6.0,4.63,,V,2.79,4.84,0.36,1.4,17,16,0.791,77,4.98,G,AJ,0.81,1.75,0.38,1.26,missing,missing
25812,FREEZE,STOP,YES,178.0,2.0,0.011,0,0.0,0.0,1.0,0.0,0.0,15.0,13.0,0.835,6.0,4.63,,V,2.79,4.84,0.36,1.4,8,8,0.905,120,2.93,G,V,1.75,2.83,0.88,3.32,missing,missing
25813,FREEZE,THAW,YES,178.0,10.0,0.056,0.276,0.005,2.0,1.0,0.0298,7.0,15.0,6.0,0.084,6.0,4.63,,V,2.79,4.84,0.36,1.4,14,5,0.122,6,3.4,,V,3.69,6,0.23,1.27,2,0.21
25814,FREEZE,WINTER,YES,178.0,3.0,0.017,0,0.011,2.0,1.0,0.1321,2.0,15.0,11.0,0.346,6.0,4.63,,V,2.79,4.84,0.36,1.4,4,2,0.415,83,5.83,,N,1,1.41,1,1.47,missing,missing
25859,FREQUENT,ALWAYS,YES,152.0,7.0,0.046,0,0.032,1.0,2.0,0.0,0.0,9.0,5.0,0.237,34.0,missing,,AJ,missing,missing,missing,missing,6,6,0.833,458,2.45,,AD,1.67,1.78,0.83,2.21,missing,missing
25860,FREQUENT,COMMON,YES,152.0,2.0,0.013,0,0.007,1.0,2.0,0.0,0.0,9.0,5.0,0.27,34.0,missing,,AJ,missing,missing,missing,missing,23,21,0.658,233,2.51,,AJ,2.48,4.67,0.33,1.56,missing,missing
25861,FREQUENT,FAST,YES,152.0,2.0,0.013,0,0.0,0.0,2.0,0.0,0.0,9.0,6.0,0.777,34.0,missing,,AJ,missing,missing,missing,missing,7,7,0.883,78,2.93,N,AJ,1.43,1.71,1,3.02,missing,missing
25862,FREQUENT,FEW,YES,152.0,2.0,0.013,0,0.038,2.0,2.0,0.04,1.0,9.0,4.0,0.579,34.0,missing,,AJ,missing,missing,missing,missing,12,9,0.336,601,3.02,,AJ,1.9,2.53,0.6,1.95,missing,missing
25863,FREQUENT,FLYER,NO,152.0,7.0,0.046,missing,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.79,34.0,missing,,AJ,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
25864,FREQUENT,LOTS,YES,152.0,17.0,0.112,0,0.0,0.0,2.0,0.0103,2.0,9.0,4.0,0.579,34.0,missing,,AJ,missing,missing,missing,missing,16,12,0.59,42,missing,,N,missing,missing,missing,missing,missing,missing
25865,FREQUENT,MANY,YES,152.0,13.0,0.086,0,0.055,3.0,2.0,0.0055,1.0,9.0,3.0,0.072,34.0,missing,,AJ,missing,missing,missing,missing,8,7,0.481,1030,2.67,,AJ,2.5,3.39,0.75,2.3,missing,missing
25866,FREQUENT,OFTEN,YES,152.0,77.0,0.507,0.154,0.0,0.0,2.0,0.0091,3.0,9.0,3.0,0.138,34.0,missing,,AJ,missing,missing,missing,missing,18,12,0.546,368,missing,,AD,2.06,4.34,0.31,1.87,0,0
25867,FREQUENT,STOPS,NO,152.0,3.0,0.02,missing,0.0,0.0,0.0,0.0,0.0,9.0,7.0,0.79,34.0,missing,,AJ,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
26003,FRIENDSHIP,BOND,YES,150.0,3.0,0.02,0.092,0.0,1.0,1.0,0.007,2.0,21.0,17.0,0.51,27.0,missing,,N,2.25,4.73,0.2,1.14,23,17,0.347,46,missing,T,N,1.75,3.59,0.25,1.1,1,0.014
26004,FRIENDSHIP,BUDDY,YES,150.0,5.0,0.033,0,0.008,2.0,1.0,0.0598,1.0,21.0,17.0,0.584,27.0,missing,,N,2.25,4.73,0.2,1.14,3,2,0.224,13,5.45,,N,0.67,1.78,1,1.21,missing,missing
26005,FRIENDSHIP,CARING,YES,150.0,2.0,0.013,0.014,0.0,0.0,1.0,0.002,2.0,21.0,17.0,0.604,27.0,missing,,N,2.25,4.73,0.2,1.14,18,13,0.78,10,missing,,V,2.75,3.14,0.25,1.45,0,0
26006,FRIENDSHIP,CLOSE,YES,150.0,7.0,0.047,0,0.004,3.0,1.0,0.0006,1.0,21.0,16.0,0.396,27.0,missing,,N,2.25,4.73,0.2,1.14,9,8,0.835,234,3.24,,AJ,0.78,2.38,0.67,2.7,missing,missing
26007,FRIENDSHIP,COMPANION,YES,150.0,2.0,0.013,0,0.003,1.0,1.0,0.0569,2.0,21.0,17.0,0.584,27.0,missing,,N,2.25,4.73,0.2,1.14,11,9,0.231,19,4.95,,N,2.64,3.8,0.46,1.13,missing,missing
26008,FRIENDSHIP,ENEMY,YES,150.0,8.0,0.053,0,0.019,1.0,1.0,0.0272,1.0,21.0,18.0,0.577,27.0,missing,,N,2.25,4.73,0.2,1.14,17,14,0.573,88,4.88,,N,1.67,2.35,0.33,2.11,missing,missing
26009,FRIENDSHIP,FOREVER,YES,150.0,9.0,0.06,0,0.011,2.0,1.0,0.015,2.0,21.0,16.0,0.437,27.0,missing,,N,2.25,4.73,0.2,1.14,14,11,0.757,39,1.95,,AD,2.92,3.18,0.54,3.67,missing,missing
26010,FRIENDSHIP,FRIEND,YES,150.0,13.0,0.087,0,0.061,8.0,1.0,0.0188,7.0,21.0,9.0,0.219,27.0,missing,,N,2.25,4.73,0.2,1.14,22,13,0.412,133,4.4,,N,2.05,4.31,0.75,5.16,missing,missing
26011,FRIENDSHIP,FRIENDLY,YES,150.0,2.0,0.013,0,0.0,1.0,1.0,0.008,3.0,21.0,16.0,0.591,27.0,missing,,N,2.25,4.73,0.2,1.14,15,9,0.363,61,missing,,AJ,2.75,3.41,0.42,1.24,missing,missing
26012,FRIENDSHIP,HAPPINESS,YES,150.0,3.0,0.02,0,0.002,1.0,1.0,0.0152,1.0,21.0,18.0,0.537,27.0,missing,,N,2.25,4.73,0.2,1.14,14,11,0.651,23,1.94,,N,2.33,4.95,0.33,1.24,missing,missing
26013,FRIENDSHIP,IMPORTANT,YES,150.0,2.0,0.013,0,0.003,1.0,1.0,0.0006,2.0,21.0,17.0,0.671,27.0,missing,,N,2.25,4.73,0.2,1.14,25,15,0.395,369,2.38,,AJ,missing,missing,missing,missing,missing,missing
26014,FRIENDSHIP,LASTING,YES,150.0,5.0,0.033,0.027,0.002,1.0,1.0,0.02,2.0,21.0,17.0,0.464,27.0,missing,,N,2.25,4.73,0.2,1.14,16,10,0.483,13,missing,,AJ,1.54,2.47,0.23,1.14,1,0.027
26015,FRIENDSHIP,LOVE,YES,150.0,24.0,0.16,0.011,0.016,9.0,1.0,0.001,4.0,21.0,8.0,0.164,27.0,missing,,N,2.25,4.73,0.2,1.14,18,13,0.706,232,3.51,,N,1.67,2.87,0.78,3.58,9,0.452
26016,FRIENDSHIP,NICE,YES,150.0,2.0,0.013,0,0.007,6.0,1.0,0.0027,3.0,21.0,13.0,0.398,27.0,missing,,N,2.25,4.73,0.2,1.14,14,11,0.749,75,2.75,,AJ,2.93,5.08,0.71,2.24,missing,missing
26017,FRIENDSHIP,PEOPLE,YES,150.0,2.0,0.013,0,0.001,3.0,1.0,0.009,2.0,21.0,15.0,0.578,27.0,missing,,N,2.25,4.73,0.2,1.14,18,16,0.644,847,5.51,,N,1.44,2.06,0.61,2.62,missing,missing
26018,FRIENDSHIP,RING,YES,150.0,2.0,0.013,0,0.0,0.0,1.0,0.0,0.0,21.0,19.0,0.704,27.0,missing,,N,2.25,4.73,0.2,1.14,13,13,0.874,47,5.88,N,N,1.15,2.98,0.85,2.67,missing,missing
26019,FRIENDSHIP,SPECIAL,YES,150.0,3.0,0.02,0,0.0,1.0,1.0,0.0077,3.0,21.0,16.0,0.511,27.0,missing,,N,2.25,4.73,0.2,1.14,20,15,0.462,245,missing,,AJ,1.67,1.72,0.39,1.3,missing,missing
26020,FRIENDSHIP,TOGETHER,YES,150.0,4.0,0.027,0,0.003,2.0,1.0,0.0173,4.0,21.0,15.0,0.403,27.0,missing,,N,2.25,4.73,0.2,1.14,19,15,0.587,267,2.88,G,AD,1.84,4.1,0.58,2.23,missing,missing
26021,FRIENDSHIP,TRUST,YES,150.0,8.0,0.053,0,0.001,1.0,1.0,0.0242,2.0,21.0,17.0,0.417,27.0,missing,,N,2.25,4.73,0.2,1.14,18,15,0.52,52,3.35,N,N,1.76,4.29,0.41,1.43,missing,missing
26022,FRIENDSHIP,UNITY,NO,150.0,2.0,0.013,missing,0.0,0.0,0.0,0.0,0.0,21.0,20.0,0.717,27.0,missing,,N,2.25,4.73,0.2,1.14,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
26023,FRIENDSHIP,WARMTH,YES,150.0,2.0,0.013,0,0.002,1.0,1.0,0.0088,1.0,21.0,18.0,0.544,27.0,missing,,N,2.25,4.73,0.2,1.14,12,11,0.774,28,4.03,,N,1.75,3.74,0.17,1.02,missing,missing
26041,FRIGHTENED,AFRAID,YES,153.0,4.0,0.026,0,0.119,2.0,0.0,0.0015,1.0,6.0,3.0,0.046,26.0,missing,,V,1.33,1.64,0.17,1.31,9,8,0.744,57,3.32,,AJ,1.44,2.24,0.44,1.23,missing,missing
26042,FRIGHTENED,CHILD,YES,153.0,2.0,0.013,0,0.0,0.0,0.0,0.0003,1.0,6.0,4.0,0.85,26.0,missing,,V,1.33,1.64,0.17,1.31,15,14,0.775,213,5.72,,N,2.6,4.58,0.53,2.68,missing,missing
26043,FRIGHTENED,DARKNESS,YES,153.0,3.0,0.02,0,0.0,0.0,0.0,0.0161,2.0,6.0,3.0,0.052,26.0,missing,,V,1.33,1.64,0.17,1.31,11,9,0.841,43,missing,,N,1,1.8,0.09,1.01,missing,missing
26044,FRIGHTENED,FEAR,YES,153.0,3.0,0.02,0,0.061,3.0,0.0,0.2764,2.0,6.0,2.0,0.026,26.0,missing,,V,1.33,1.64,0.17,1.31,17,13,0.294,127,3.22,,N,1.4,1.91,0.67,1.8,missing,missing
26045,FRIGHTENED,GIRL,YES,153.0,2.0,0.013,0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.85,26.0,missing,,V,1.33,1.64,0.17,1.31,8,8,0.885,220,6.83,,N,1.25,1.48,1,2.64,missing,missing
26046,FRIGHTENED,SCARED,YES,153.0,120.0,0.784,0.315,0.007,2.0,0.0,0.0054,2.0,6.0,2.0,0.026,26.0,missing,,V,1.33,1.64,0.17,1.31,12,8,0.167,21,missing,,V,1.18,1.17,0.46,2.26,2,0.371
27778,GOODBYE,ADIOS,NO,153.0,6.0,0.039,missing,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.621,6.0,missing,,I,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
27779,GOODBYE,FAREWELL,NO,153.0,6.0,0.039,missing,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.621,6.0,missing,,I,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
27780,GOODBYE,FOREVER,YES,153.0,2.0,0.013,0,0.0,0.0,6.0,0.0,0.0,10.0,3.0,0.608,6.0,missing,,I,missing,missing,missing,missing,14,13,0.872,39,1.95,,AD,2.92,3.18,0.54,3.67,missing,missing
27781,GOODBYE,HELLO,YES,153.0,78.0,0.51,0,0.0,0.0,6.0,0.0059,1.0,10.0,3.0,0.111,6.0,missing,,I,missing,missing,missing,missing,7,4,0.056,10,missing,,I,missing,missing,missing,missing,missing,missing
27782,GOODBYE,HI,NO,153.0,7.0,0.046,missing,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.621,6.0,missing,,I,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
27783,GOODBYE,LATER,NO,153.0,2.0,0.013,missing,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.621,6.0,missing,,I,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
27784,GOODBYE,LEAVE,YES,153.0,4.0,0.026,0.049,0.0,0.0,6.0,0.0,0.0,10.0,3.0,0.595,6.0,missing,,I,missing,missing,missing,missing,18,16,0.766,205,3.1,,V,2.12,2.55,0.65,2.01,0,0
27785,GOODBYE,SAD,YES,153.0,11.0,0.072,0,0.0,0.0,6.0,0.0,0.0,10.0,3.0,0.549,6.0,missing,,I,missing,missing,missing,missing,7,7,0.904,35,3.52,,AJ,1.14,2.09,1,3.27,missing,missing
27786,GOODBYE,SEE YA,NO,153.0,8.0,0.052,missing,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.621,6.0,missing,,I,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
27787,GOODBYE,SO LONG,NO,153.0,2.0,0.013,missing,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.621,6.0,missing,,I,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
28003,GRADUATE,ACCOMPLISHMENT,NO,148.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.663,30.0,missing,,V,1.12,2.54,0.13,1.04,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
28004,GRADUATE,CAP,YES,148.0,8.0,0.054,0,0.0,0.0,4.0,0.0,0.0,20.0,15.0,0.609,30.0,missing,,V,1.12,2.54,0.13,1.04,6,6,0.93,27,6.77,N,N,0.67,1.37,0.5,1.15,missing,missing
28005,GRADUATE,CELEBRATION,YES,148.0,2.0,0.014,0,0.0,0.0,4.0,0.0145,2.0,20.0,13.0,0.595,30.0,missing,,V,1.12,2.54,0.13,1.04,8,5,0.138,15,missing,,N,2.14,2.34,0.29,1.04,missing,missing
28006,GRADUATE,COLLEGE,YES,148.0,7.0,0.047,0,0.031,4.0,4.0,0.0329,4.0,20.0,11.0,0.271,30.0,missing,,V,1.12,2.54,0.13,1.04,15,10,0.469,267,5.35,,N,3.29,3.55,0.5,1.81,missing,missing
28007,GRADUATE,DEGREE,YES,148.0,9.0,0.061,0.014,0.001,1.0,4.0,0.0158,2.0,20.0,13.0,0.447,30.0,missing,,V,1.12,2.54,0.13,1.04,17,11,0.447,125,missing,G,N,missing,missing,missing,missing,missing,missing
28008,GRADUATE,FINALLY,NO,148.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.663,30.0,missing,,V,1.12,2.54,0.13,1.04,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
28009,GRADUATE,FINISH,YES,148.0,5.0,0.034,0,0.0,0.0,4.0,0.0,0.0,20.0,15.0,0.629,30.0,missing,,V,1.12,2.54,0.13,1.04,8,8,0.905,39,2.78,T,V,1.25,2.75,0.63,2.58,missing,missing
28010,GRADUATE,FREEDOM,YES,148.0,4.0,0.027,0,0.0,0.0,4.0,0.0003,1.0,20.0,14.0,0.616,30.0,missing,,V,1.12,2.54,0.13,1.04,24,19,0.562,128,1.98,,N,missing,missing,missing,missing,missing,missing
28011,GRADUATE,HAPPY,YES,148.0,5.0,0.034,0,0.001,1.0,4.0,0.0,0.0,20.0,14.0,0.615,30.0,missing,,V,1.12,2.54,0.13,1.04,8,7,0.859,98,3.51,,AJ,1.29,1.52,0.86,3.38,missing,missing
28012,GRADUATE,HIGH SCHOOL,YES,148.0,2.0,0.014,0.033,0.001,1.0,4.0,0.0056,1.0,20.0,14.0,0.602,30.0,missing,,V,1.12,2.54,0.13,1.04,20,15,0.37,5,missing,,N,0.94,0,0.24,0,1,0.014
28013,GRADUATE,HONOR,YES,148.0,3.0,0.02,0,0.0,0.0,4.0,0.0099,1.0,20.0,14.0,0.481,30.0,missing,,V,1.12,2.54,0.13,1.04,25,23,0.645,66,1.75,,N,1.46,3.01,0.54,1.72,missing,missing
28014,GRADUATE,JOB,YES,148.0,2.0,0.014,0,0.0,0.0,4.0,0.0,0.0,20.0,15.0,0.649,30.0,missing,,V,1.12,2.54,0.13,1.04,7,7,0.835,238,4.11,,N,1.86,2.12,1,3.33,missing,missing
28015,GRADUATE,ME,YES,148.0,3.0,0.02,0,0.007,1.0,4.0,0.0021,1.0,20.0,14.0,0.481,30.0,missing,,V,1.12,2.54,0.13,1.04,12,10,0.678,1181,5,,P,missing,missing,missing,missing,missing,missing
28016,GRADUATE,PARTY,YES,148.0,3.0,0.02,0,0.009,1.0,4.0,0.0004,1.0,20.0,13.0,0.609,30.0,missing,,V,1.12,2.54,0.13,1.04,22,20,0.794,216,5.5,T,N,1.29,2.61,0.33,1.53,missing,missing
28017,GRADUATE,SCHOLAR,NO,148.0,2.0,0.014,missing,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.663,30.0,missing,,V,1.12,2.54,0.13,1.04,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
28018,GRADUATE,SCHOOL,YES,148.0,16.0,0.108,0,0.036,3.0,4.0,0.0119,2.0,20.0,12.0,0.285,30.0,missing,,V,1.12,2.54,0.13,1.04,22,18,0.652,492,5.25,T,N,3.35,4.18,0.7,2.65,missing,missing
28019,GRADUATE,SENIOR,NO,148.0,4.0,0.027,missing,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.663,30.0,missing,,V,1.12,2.54,0.13,1.04,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
28020,GRADUATE,SOON,YES,148.0,2.0,0.014,0,0.0,0.0,4.0,0.0,0.0,20.0,15.0,0.649,30.0,missing,,V,1.12,2.54,0.13,1.04,14,13,0.654,1,2.54,,AV,missing,missing,missing,missing,missing,missing
28021,GRADUATE,STUDENT,YES,148.0,24.0,0.162,0,0.008,4.0,4.0,0.0163,3.0,20.0,11.0,0.306,30.0,missing,,V,1.12,2.54,0.13,1.04,22,19,0.634,131,6.38,,N,3.14,5.82,0.41,2.44,missing,missing
28022,GRADUATE,YES,YES,148.0,3.0,0.02,0,0.001,2.0,4.0,0.0,0.0,20.0,13.0,0.596,30.0,missing,,V,1.12,2.54,0.13,1.04,7,7,0.92,144,missing,,AD,0.14,0.97,0.57,1.91,missing,missing
29710,HAUNT,GHOST,YES,111.0,29.0,0.261,0.03,0.08,1.0,1.0,0.0126,1.0,8.0,5.0,0.333,4.0,2.63,N,V,0.43,1.72,0.14,1.03,24,18,0.647,11,4.25,,N,1.45,2.27,0.55,3.42,1,0.385
29711,HAUNT,HOUSE,YES,111.0,2.0,0.018,0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,0.783,4.0,2.63,N,V,0.43,1.72,0.14,1.03,13,13,0.841,591,6.21,,N,1,1.54,0.85,2.68,missing,missing
29712,HAUNT,LINGER,NO,111.0,2.0,0.018,missing,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.801,4.0,2.63,N,V,0.43,1.72,0.14,1.03,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
29713,HAUNT,REMAIN,YES,111.0,2.0,0.018,0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,0.783,4.0,2.63,N,V,0.43,1.72,0.14,1.03,6,5,0.874,93,2.67,,V,0.4,1.07,0.2,1.11,missing,missing
29714,HAUNT,SCARE,YES,111.0,29.0,0.261,0,0.092,1.0,1.0,0.0,0.0,8.0,5.0,0.333,4.0,2.63,N,V,0.43,1.72,0.14,1.03,11,11,0.78,3,4.07,,V,2,2.31,0.27,2.27,missing,missing
29715,HAUNT,SPOOK,YES,111.0,23.0,0.207,0,0.016,1.0,1.0,0.2169,2.0,8.0,4.0,0.072,4.0,2.63,N,V,0.43,1.72,0.14,1.03,5,3,0.074,0,4.07,,N,1.4,2.19,0.2,1.06,missing,missing
29716,HAUNT,STALK,YES,111.0,2.0,0.018,0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,0.783,4.0,2.63,N,V,0.43,1.72,0.14,1.03,25,24,0.748,9,4,N,N,1.04,2.92,0.21,1.18,missing,missing
29717,HAUNT,VISIT,YES,111.0,2.0,0.018,0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,0.783,4.0,2.63,N,V,0.43,1.72,0.14,1.03,16,15,0.748,109,3.45,,V,1.27,2.39,0,1,missing,missing
32170,IMAGINATION,ARTIST,YES,145.0,2.0,0.014,0,0.0327,1.0,1.0,0.0001,1.0,15.0,11.0,0.456,65.0,3,,N,1,2.28,0.14,1.14,12,10,0.838,57,5.65,,N,1.82,2.73,0.73,1.4,missing,missing
32171,IMAGINATION,CHILD,YES,145.0,3.0,0.021,0,0.0,0.0,1.0,0.0,0.0,15.0,13.0,0.787,65.0,3,,N,1,2.28,0.14,1.14,15,15,0.795,213,5.72,,N,2.6,4.58,0.53,2.68,missing,missing
32172,IMAGINATION,CREATION,YES,145.0,3.0,0.021,0,0.0,0.0,1.0,0.0,0.0,15.0,13.0,0.787,65.0,3,,N,1,2.28,0.14,1.14,18,15,0.751,46,missing,,N,missing,missing,missing,missing,missing,missing
32173,IMAGINATION,CREATIVITY,YES,145.0,47.0,0.324,0.054,0.0,0.0,1.0,0.0022,2.0,15.0,11.0,0.415,65.0,3,,N,1,2.28,0.14,1.14,23,17,0.517,9,missing,,AV,missing,missing,missing,missing,missing,missing
32174,IMAGINATION,DREAM,YES,145.0,17.0,0.117,0,0.0349,3.0,1.0,0.0047,1.0,15.0,10.0,0.56,65.0,3,,N,1,2.28,0.14,1.14,10,8,0.645,64,3.03,,N,0.33,0.86,0.56,2.27,missing,missing
32175,IMAGINATION,DRUG,YES,145.0,2.0,0.014,0,0.0,0.0,1.0,0.0,0.0,15.0,13.0,0.794,65.0,3,,N,1,2.28,0.14,1.14,20,20,0.711,24,5.54,G,N,1.8,3.09,0.65,3.33,missing,missing
