Targets,Sample Size,Set Size,Set Size + Idiosyncratic,Frequency (K&F),Concreteness(Scale 1-7),Homograph? (Letter=Yes),Part of Speech,Mean Connectivity,Connectivity Strength,Resonance Probability,Resonance Strength,Accessibility Index,Non-Responses,Ending Stem Set Size  ,Ending Stem Strength,Beginning Stem Set Size,Beginning Stem Strength,Ending Fragment Cue,Ending Fragment Set size,Ending Fragment Strength,Beginning Fragment Cue,Beginning Cue Set Size,Beginning Cue Strength
NIGHT,156,6,14,411,4.83,G,N,0.50,1.030,0.67,2.290,55,0.00,19,0.02,9,0.33,-IGHT,8,0.10,,missing,missing
NIGHTGOWN,144,16,42,0,6.40,,N,missing,missing,missing,missing,4,0.03,9,0.00,9,0.01,,missing,missing,,missing,missing
NIGHTMARE,153,10,33,9,missing,,N,missing,missing,missing,missing,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
NINE,152,9,27,81,missing,,N,missing,missing,missing,missing,6,0.01,21,0.03,9,0.07,-INE,8,0.04,NI--,6,0.18
NITROGEN,151,13,25,12,missing,,N,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NO,138,9,16,2201,3.14,,AD,0.57,1.130,0.71,2.250,52,0.00,35,0.07,missing,missing,,missing,missing,,missing,missing
NOISE,156,14,35,37,5.29,,N,2.15,3.750,0.69,2.050,65,0.02,missing,missing,missing,missing,--ISE,8,0.01,,missing,missing
NOISY,140,8,29,6,2.93,,AJ,1.00,1.500,0.13,1.190,9,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
NOMAD,152,18,62,0,missing,,N,missing,missing,missing,missing,3,0.11,missing,missing,missing,missing,,missing,missing,,missing,missing
NONE,148,11,24,108,2.84,,P,2.18,2.640,0.46,1.810,43,0.01,16,0.22,8,0.16,-ONE,12,0.09,N0--,8,0.28
NONSENSE,148,20,51,13,1.90,,N,1.44,3.330,0.06,1.030,6,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
NOODLES,153,17,32,0,5.75,,N,1.71,3.710,0.36,1.800,7,0.01,missing,missing,11,0.16,,missing,missing,,missing,missing
NOON,150,13,25,25,missing,,N,1.23,3.920,0.31,1.120,5,0.00,22,0.02,missing,missing,-OON,6,0.19,NO--,8,0.04
NOOSE,145,12,27,3,5.28,,N,1.17,1.650,0.17,1.060,4,0.08,8,0.04,missing,missing,-OOSE,4,0.02,,missing,missing
NORM,197,26,55,10,2.18,,N,2.91,5.300,0.17,1.060,5,0.03,6,0.08,missing,missing,--RM,11,0.06,NO--,8,0.01
NORMAL,144,15,34,136,2.38,,AJ,3.33,5.140,0.60,1.970,19,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
NORTH,180,9,20,206,3.54,,N,0.50,1.110,0.38,1.980,16,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NOSE,148,15,33,60,6.26,,N,0.75,1.320,0.58,1.510,49,0.02,22,0.19,missing,missing,-OSE,6,0.09,NO--,8,0.25
NOSY,153,26,70,0,missing,,AJ,missing,missing,missing,missing,4,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
NOT,150,21,49,4609,2.68,,AD,missing,missing,missing,missing,26,0.03,8,0.02,missing,missing,-OT,9,0.07,,missing,missing
NOTE,144,16,32,127,4.36,N,N,1.43,2.280,0.29,1.380,15,0.00,15,0.02,missing,missing,,missing,missing,NO--,8,0.23
NOTEBOOK,147,15,24,2,missing,,N,4.15,6.130,0.23,1.410,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NOTES,146,17,45,57,6.20,G,N,2.29,3.530,0.18,1.180,12,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NOTHING,184,15,35,412,1.88,,N,1.62,3.720,0.69,2.360,37,0.24,missing,missing,8,0.19,----ING,55,0.00,NOT----,5,0.41
NOTICE,123,14,44,59,3.85,,N,1.46,2.490,0.15,1.040,12,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
NOTIFY,153,12,39,8,2.80,,V,0.91,1.640,0.18,1.030,2,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
NOTION,148,6,29,40,1.82,,N,0.67,1.510,0.17,1.010,1,0.17,10,0.08,missing,missing,-OTION,4,0.10,,missing,missing
NOUN,184,7,17,1,3.93,,N,2.43,2.190,0.57,2.270,10,0.05,9,0.21,missing,missing,--UN,4,0.04,NO--,8,0.00
NOVEL,148,7,28,59,5.34,N,N,1.17,2.410,0.50,1.110,16,0.03,3,0.23,missing,missing,,missing,missing,,missing,missing
NOVICE,152,10,39,3,missing,,N,1.56,1.240,0.33,1.350,5,0.15,missing,missing,missing,missing,,missing,missing,,missing,missing
NOW,144,9,15,1314,3.02,,AD,missing,missing,missing,missing,44,0.02,11,0.04,missing,missing,-OW,11,0.04,,missing,missing
NUCLEAR,151,15,35,115,missing,,AJ,0.69,1.630,0.23,1.120,11,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NUCLEUS,152,11,26,11,missing,,N,1.90,2.580,0.40,1.120,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NUMBER,148,17,38,472,3.76,G,N,1.31,3.900,0.81,1.950,66,0.02,missing,missing,8,0.04,,missing,missing,,missing,missing
NUMBERS,146,15,47,125,missing,,N,0.50,1.560,0.25,1.100,19,0.02,missing,missing,8,0.00,,missing,missing,,missing,missing
NUMEROUS,148,10,28,47,missing,,AJ,1.80,3.230,0.10,1.010,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NUN,145,15,39,2,6.76,,N,2.00,2.930,0.50,1.960,10,0.02,16,0.04,8,0.01,-UN,7,0.08,,missing,missing
NURSE,139,10,26,17,5.48,,N,2.11,2.980,0.44,1.490,13,0.01,11,0.09,missing,missing,,missing,missing,,missing,missing
NURSERY,150,10,20,13,6.45,,N,1.00,1.440,0.10,1.060,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NUT,145,14,36,15,missing,N,N,1.50,1.620,0.67,3.360,17,0.05,15,0.01,8,0.33,,missing,missing,,missing,missing
NUTRIMENT,79,9,16,2,3.40,,N,missing,missing,missing,missing,0,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
NUTS,140,16,24,19,missing,,N,0.79,1.550,0.14,1.070,9,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
NYLON,147,13,43,1,6.16,,N,2.00,2.450,0.18,1.040,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
NYLONS,152,12,37,1,missing,,N,missing,missing,missing,missing,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OAK,156,9,17,15,5.51,,N,1.33,4.090,0.56,1.180,7,0.00,16,0.04,missing,missing,,missing,missing,,missing,missing
OAR,141,5,8,0,5.68,,N,1.80,2.730,0.60,1.170,4,0.02,28,0.00,missing,missing,,missing,missing,O--,10,0.03
OASIS,138,11,34,0,missing,,N,1.80,2.640,0.20,1.040,2,0.02,9,0.00,missing,missing,,missing,missing,,missing,missing
OATH,147,18,40,6,missing,,N,1.88,3.410,0.24,1.150,6,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
OATMEAL,152,24,43,1,5.16,,N,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OATS,150,17,33,7,5.33,,N,2.53,4.700,0.33,1.350,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OBEY,143,18,41,8,2.65,,V,missing,missing,missing,missing,8,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OBJECT,148,17,45,65,5.69,W,V,0.76,2.030,0.35,1.460,23,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OBJECTIVE,154,16,59,91,2.03,,AJ,1.94,2.260,0.19,1.460,6,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
OBLIGATION,146,19,52,16,missing,,N,missing,missing,missing,missing,4,0.06,18,0.00,missing,missing,,missing,missing,,missing,missing
OBNOXIOUS,154,21,60,5,missing,,AJ,2.21,2.840,0.26,1.210,12,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
OBOE,152,14,43,0,missing,,N,4.62,6.680,0.23,1.060,3,0.15,missing,missing,missing,missing,,missing,missing,,missing,missing
OBSCENITY,79,14,44,1,3.03,,N,missing,missing,missing,missing,0,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OBSCURE,142,17,73,17,3.16,,AJ,1.67,3.080,0.13,1.030,4,0.18,missing,missing,missing,missing,,missing,missing,,missing,missing
OBSERVE,132,7,20,25,2.80,G,V,2.00,3.090,0.57,1.110,9,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OBSESSION,147,16,56,5,1.65,,N,missing,missing,missing,missing,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
OBSTACLE,150,20,56,10,missing,,N,0.80,1.360,0.20,1.130,6,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
OBTAIN,145,16,28,42,2.88,,V,3.44,4.890,0.25,1.110,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OBVIOUS,146,19,64,92,2.04,,AJ,missing,missing,missing,missing,5,0.08,missing,missing,missing,missing,,missing,missing,,missing,missing
OCCUPATION,145,6,22,24,3.63,G,N,1.67,2.480,0.33,1.050,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OCCUPIED,150,12,34,36,missing,,V,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OCEAN,165,17,36,34,5.63,,N,2.31,4.890,0.69,2.320,72,0.00,10,0.07,missing,missing,--EAN,4,0.01,,missing,missing
OCTOPUS,98,11,24,1,6.69,,N,1.50,3.390,0.20,1.300,2,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ODD,147,7,26,44,2.60,W,AJ,1.71,2.380,0.71,1.890,17,0.00,12,0.01,missing,missing,-OD,7,0.02,,missing,missing
ODDS,152,7,26,14,missing,,N,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ODOR,119,6,21,14,5.83,G,N,1.67,3.560,0.83,1.420,24,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OFF,145,2,9,639,2.77,G,AD,0.00,0.920,0.50,1.880,30,0.03,6,0.03,missing,missing,,missing,missing,O--,10,0.06
OFFEND,180,20,60,4,3.17,,V,2.28,3.780,0.11,1.060,2,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
OFFENSE,152,7,25,8,2.63,G,N,0.57,1.020,0.14,1.300,4,0.02,missing,missing,missing,missing,---ENSE,5,0.03,,missing,missing
OFFICE,144,18,49,255,5.65,,N,2.00,2.680,0.44,1.250,33,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
OFFICER,148,13,38,101,6.32,,N,1.92,3.470,0.15,1.080,19,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OFFICIAL,146,20,66,75,missing,,AJ,1.65,3.530,0.15,1.090,7,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
OFTEN,143,18,34,368,missing,,AD,2.06,4.340,0.31,1.870,10,0.01,12,0.00,missing,missing,,missing,missing,,missing,missing
OIL,148,17,36,93,5.60,,N,1.20,2.960,0.60,2.360,39,0.03,missing,missing,missing,missing,,missing,missing,O--,10,0.06
OINTMENT,154,20,52,3,missing,,N,missing,missing,missing,missing,0,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
OKAY,130,13,36,20,2.41,,N,missing,missing,missing,missing,18,0.03,26,0.01,missing,missing,,missing,missing,,missing,missing
OLD,148,9,24,660,3.41,,AJ,0.38,1.060,0.75,3.770,112,0.01,11,0.01,missing,missing,,missing,missing,O--,10,0.12
OLIGARCHY,151,14,41,0,missing,,N,1.25,2.650,0.08,1.030,1,0.46,missing,missing,missing,missing,,missing,missing,,missing,missing
OLIVE,148,17,32,5,6.14,,N,1.81,3.610,0.06,1.010,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
OLYMPICS,150,20,50,2,missing,,N,missing,missing,missing,missing,12,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OMELET,140,4,6,3,6.26,,N,0.75,1.080,0.00,1.030,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ON,148,5,9,6742,2.55,G,PP,0.60,1.450,0.60,2.000,16,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ONCE,147,12,24,499,3.11,,AD,1.00,1.860,0.11,1.260,7,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ONE,148,6,13,3292,3.72,G,AJ,0.80,1.180,0.80,1.730,63,0.01,16,0.02,missing,missing,,missing,missing,O--,10,0.24
ONION,148,15,43,15,6.16,,N,1.60,3.780,0.07,1.080,9,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OODLES,154,9,17,0,missing,,N,missing,missing,missing,missing,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
OPEN,148,5,24,319,3.72,G,AJ,1.60,1.920,1.00,1.780,70,0.01,missing,missing,missing,missing,--EN,11,0.03,,missing,missing
OPENER,151,4,16,6,missing,,N,0.25,0.970,0.50,1.070,4,0.00,missing,missing,missing,missing,---NER,12,0.03,,missing,missing
OPENING,140,13,31,34,missing,,N,0.42,1.140,0.33,1.550,10,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OPERA,144,16,40,47,missing,,N,2.29,3.770,0.21,1.310,8,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
OPERATE,146,19,45,48,3.33,,V,1.61,2.900,0.11,1.130,3,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OPERATION,148,15,51,113,5.10,T,N,2.71,4.250,0.14,1.260,8,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
OPERATOR,148,13,31,49,missing,,N,0.45,2.170,0.09,1.020,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OPINION,198,23,59,96,2.29,,N,1.41,3.330,0.27,1.370,29,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
OPIUM,79,8,23,16,5.42,,N,missing,missing,missing,missing,0,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
OPPONENT,150,19,35,13,4.30,,N,missing,missing,missing,missing,4,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
OPPORTUNITY,140,16,44,121,2.63,,N,0.73,1.610,0.20,1.180,7,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
OPPOSITE,146,19,34,81,2.95,,AJ,missing,missing,missing,missing,15,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
OPTIMISTIC,149,14,48,15,missing,,AJ,missing,missing,missing,missing,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
OPTION,148,8,35,5,2.58,,N,1.50,1.850,0.38,1.090,7,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ORANGE,98,14,27,23,5.74,,N,2.15,2.900,0.69,3.300,39,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ORANGE JUICE,149,20,47,0,missing,,N,missing,missing,missing,missing,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ORCHARD,165,10,22,3,5.78,,N,2.70,3.650,0.10,1.050,1,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ORCHESTRA,97,7,21,60,5.79,,N,2.14,2.540,0.43,1.620,8,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ORCHID,126,7,20,3,5.86,,N,1.14,1.340,0.00,1.000,0,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ORDER,135,22,60,376,3.37,N,N,1.05,2.620,0.42,1.430,35,0.04,8,0.06,missing,missing,,missing,missing,,missing,missing
ORDERLY,148,11,51,20,3.84,P,AJ,missing,missing,missing,missing,0,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
ORDINARY,147,15,37,72,missing,,AJ,3.58,3.610,0.33,1.200,10,0.00,8,0.00,missing,missing,,missing,missing,,missing,missing
ORE,138,8,16,3,5.98,,N,1.57,1.420,0.14,1.040,2,0.32,28,0.00,missing,missing,--E,24,0.00,O--,10,0.05
OREGANO,152,13,25,0,5.39,,N,2.75,3.880,0.08,1.020,3,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
ORGAN,142,12,25,26,5.81,N,N,1.45,2.430,0.55,1.310,15,0.01,4,0.06,missing,missing,,missing,missing,,missing,missing
ORGANIZATION,147,18,50,127,missing,,N,1.76,3.120,0.12,1.060,7,0.04,18,0.00,missing,missing,,missing,missing,,missing,missing
ORGANIZE,145,23,62,14,3.15,,V,2.00,4.440,0.26,1.200,14,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ORGY,79,4,16,1,5.23,,N,missing,missing,missing,missing,0,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
ORIENT,150,19,52,4,missing,G,N,missing,missing,missing,missing,2,0.05,missing,missing,missing,missing,--IENT,2,0.27,,missing,missing
ORIGINAL,140,18,43,100,missing,,AJ,1.18,4.600,0.18,1.140,13,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
ORIGINATE,180,14,43,6,2.81,,V,1.58,2.430,0.00,1.000,1,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
ORNAMENT,148,9,15,4,5.69,,N,missing,missing,missing,missing,2,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
ORTHODONTIST,148,6,15,9,6.57,,N,1.67,2.580,0.17,1.050,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OTHER,132,18,50,1702,2.71,,AJ,missing,missing,missing,missing,9,0.10,missing,missing,missing,missing,,missing,missing,,missing,missing
OTTER,150,14,40,5,missing,,N,2.31,4.010,0.15,1.050,3,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
OUCH,142,7,15,0,3.23,,I,2.20,2.760,1.00,1.180,22,0.09,missing,missing,missing,missing,--CH,8,0.17,,missing,missing
OUNCE,163,13,25,3,4.98,,N,1.42,2.480,0.33,1.180,6,0.02,6,0.03,missing,missing,,missing,missing,,missing,missing
OUT,148,6,19,2096,2.40,G,AD,0.20,1.020,0.40,2.010,84,0.01,19,0.02,missing,missing,,missing,missing,O--,10,0.25
OUT FOX,180,15,45,0,3.14,,V,missing,missing,missing,missing,0,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTCOME,145,13,31,26,2.80,,N,1.33,3.250,0.08,1.070,5,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTDOORS,152,21,48,6,missing,,AJ,1.32,2.860,0.16,1.650,5,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTFIT,151,12,42,16,missing,,N,3.00,3.350,0.18,1.050,3,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTGOING,147,27,60,8,missing,,AJ,missing,missing,missing,missing,11,0.02,25,0.00,missing,missing,,missing,missing,,missing,missing
OUTLAW,140,20,43,2,4.29,,N,2.85,4.760,0.10,1.140,4,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTLET,152,12,42,9,missing,,N,1.33,2.090,0.25,1.560,6,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTLINE,147,26,66,12,4.08,,N,2.29,5.290,0.08,1.050,8,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTRAGEOUS,150,20,70,2,missing,,AJ,missing,missing,missing,missing,5,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTSIDE,153,14,35,210,missing,,N,1.14,2.070,0.29,1.650,20,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OUTSTANDING,132,19,47,37,missing,,AJ,3.37,5.630,0.21,1.110,6,0.00,25,0.00,missing,missing,,missing,missing,,missing,missing
OVAL,184,10,25,8,4.03,,AJ,1.33,3.140,0.11,1.010,1,0.02,missing,missing,missing,missing,-VAL,1,0.61,,missing,missing
OVEN,165,9,14,7,5.45,,N,1.78,2.700,0.56,1.690,15,0.01,missing,missing,missing,missing,-VEN,2,0.48,,missing,missing
OVER,142,11,30,1236,2.80,,PP,0.64,1.850,0.46,1.670,38,0.01,missing,missing,missing,missing,,missing,missing,OV--,4,0.30
OVERCOME,147,23,77,26,missing,,V,2.27,3.910,0.18,1.170,6,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
OVERFLOW,147,21,56,2,3.85,,V,1.53,3.530,0.12,1.040,2,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OVERPOWER,153,16,84,1,missing,,V,1.08,1.840,0.08,1.060,1,0.07,missing,missing,missing,missing,,missing,missing,,missing,missing
OVERVIEW,150,24,64,0,missing,,N,missing,missing,missing,missing,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
OVERWHELM,151,27,78,1,missing,,V,missing,missing,missing,missing,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
OWE,148,9,19,10,2.92,,N,2.62,3.860,0.50,1.510,10,0.03,35,0.00,missing,missing,,missing,missing,OW-,3,0.15
OWL,148,9,25,2,6.09,,N,0.62,1.510,0.25,1.600,4,0.00,14,0.03,missing,missing,,missing,missing,O--,10,0.08
OWN,180,16,41,772,3.05,,AJ,1.94,4.000,0.50,1.850,17,0.06,26,0.03,missing,missing,,missing,missing,OW-,3,0.05
OWNER,145,23,62,33,5.90,,N,2.38,5.380,0.19,1.400,10,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
OX,148,14,47,5,6.55,,N,1.62,2.480,0.08,1.020,3,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
OXYGEN,143,11,16,43,5.43,,N,2.09,3.030,0.55,1.670,11,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
OYSTER,156,14,33,6,5.69,,N,1.33,1.790,0.50,1.450,9,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
OZONE,147,17,31,3,missing,,N,1.59,2.570,0.24,1.240,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PACK,148,23,46,25,4.98,N,N,1.73,3.890,0.14,1.070,11,0.03,25,0.07,18,0.19,-ACK,8,0.12,PA--,18,0.06
PACKAGE,142,19,38,20,5.90,,N,1.72,3.570,0.22,1.490,7,0.03,missing,missing,18,0.01,,missing,missing,,missing,missing
PAD,148,13,31,8,5.85,,N,1.62,3.980,0.15,1.080,13,0.03,15,0.10,18,0.01,-AD,8,0.05,,missing,missing
PADDING,153,16,49,3,missing,,N,1.33,1.970,0.00,1.000,0,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PADDLE,148,14,34,1,5.98,,N,2.08,3.890,0.33,1.220,6,0.05,4,0.29,18,0.00,,missing,missing,,missing,missing
PADDY,152,17,43,1,missing,,N,0.69,1.150,0.08,1.030,1,0.09,5,0.03,missing,missing,,missing,missing,,missing,missing
PAGE,146,10,28,66,5.85,N,N,1.20,3.020,0.20,1.050,11,0.02,9,0.33,missing,missing,-AGE,5,0.27,PA--,19,0.02
PAIL,156,7,22,4,5.27,,N,0.86,1.340,0.29,1.260,6,0.01,28,0.10,missing,missing,-AIL,11,0.19,PA--,19,0.07
PAIN,156,13,35,88,4.22,,N,0.92,1.820,0.50,3.540,158,0.06,38,0.40,missing,missing,--IN,12,0.12,PA--,19,0.37
PAINT,165,16,36,37,5.73,,N,1.62,2.750,0.56,1.640,40,0.00,6,0.57,missing,missing,-AINT,4,0.48,PA---,8,0.06
PAINTER,152,23,39,21,6.59,,N,1.94,3.640,0.22,1.480,5,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PAINTING,147,18,33,59,6.18,,N,3.00,5.870,0.53,1.690,16,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PAIR,149,9,24,50,3.73,,N,1.22,2.480,0.22,1.110,3,0.01,25,0.07,missing,missing,-AIR,4,0.07,PA--,19,0.04
PAJAMAS,156,15,29,3,6.16,,N,missing,missing,missing,missing,6,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PAL,145,4,12,2,5.43,,N,1.00,2.230,0.50,1.290,5,0.00,missing,missing,18,0.03,,missing,missing,P--,16,0.01
PALACE,128,14,40,38,5.71,,N,2.14,5.600,0.14,1.060,3,0.04,missing,missing,missing,missing,,missing,missing,,missing,missing
PALE,149,12,36,58,missing,,AJ,1.45,2.270,0.18,1.100,4,0.01,28,0.21,missing,missing,,missing,missing,PA--,19,0.09
PALM,126,8,21,22,5.85,P,N,0.25,1.520,0.13,1.010,6,0.02,missing,missing,missing,missing,,missing,missing,PA--,19,0.02
PAN,148,13,27,16,5.74,,N,1.58,2.530,0.33,1.880,15,0.03,14,0.18,18,0.02,-AN,9,0.30,,missing,missing
PANCAKES,127,10,25,0,6.56,,N,1.75,2.400,0.38,1.760,11,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PANE,138,3,12,3,4.95,,N,0.67,1.290,0.33,1.180,2,0.04,38,0.03,missing,missing,,missing,missing,PA--,19,0.02
PANEL,148,17,50,31,missing,N,N,missing,missing,missing,missing,5,0.02,3,0.39,missing,missing,---EL,17,0.01,,missing,missing
PANIC,147,22,60,22,2.18,,N,2.53,3.210,0.11,1.040,5,0.03,missing,missing,missing,missing,,missing,missing,PA---,8,0.02
PANTHER,197,14,27,1,6.83,,N,2.10,3.210,0.30,1.110,4,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PANTS,184,22,41,9,6.15,,N,2.86,4.540,0.52,3.660,31,0.02,10,0.71,missing,missing,-ANTS,8,0.14,,missing,missing
PANTYHOSE,147,18,42,0,missing,,N,2.00,2.240,0.21,1.230,4,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PAPER,180,15,36,157,5.96,,N,1.07,3.400,0.64,1.960,163,0.01,missing,missing,missing,missing,--PER,4,0.36,,missing,missing
PAPER TOWEL,150,16,36,0,missing,,N,1.43,0.000,0.07,0.000,1,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PAPERCLIP,153,11,37,0,missing,,N,2.00,3.310,0.09,1.040,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PARADE,148,25,58,25,5.19,,N,missing,missing,missing,missing,3,0.02,missing,missing,missing,missing,,missing,missing,,missing,missing
PARADISE,151,20,44,12,missing,,N,1.82,4.650,0.12,1.070,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PARAGRAPH,154,17,35,12,4.82,,N,2.69,4.740,0.19,1.160,7,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PARCEL,151,14,36,1,5.21,,N,missing,missing,missing,missing,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PARCHED,147,7,27,2,missing,,V,0.86,1.320,0.14,1.040,1,0.09,missing,missing,missing,missing,,missing,missing,,missing,missing
PARDON,141,11,30,8,2.98,,V,0.80,1.060,0.20,1.100,2,0.07,3,0.22,missing,missing,,missing,missing,,missing,missing
PARENT,126,10,34,15,6.18,,N,2.10,3.210,0.70,1.830,32,0.01,missing,missing,missing,missing,--RE--,23,0.03,,missing,missing
PARENTS,146,22,57,91,missing,,N,2.55,4.540,0.25,1.300,21,0.00,missing,missing,missing,missing,,missing,missing,,missing,missing
PARIS,148,15,37,67,missing,,N,missing,missing,missing,missing,5,0.01,missing,missing,missing,missing,,missing,missing,,missing,missing
PARK,148,21,40,94,5.45,P,N,0.95,2.660,0.35,1.800,29,0.01,12,0.15,missing,missing,-ARK,7,0.03,PA--,19,0.02
PARKING,146,12,29,31,missing,,V,1.18,2.580,0.36,1.190,13,0.01,25,0.00,missing,missing,---KING,24,0.05,,missing,missing
PARKWAY,153,14,52,6,missing,,N,missing,missing,missing,missing,1,0.03,missing,missing,missing,missing,,missing,missing,,missing,missing
PARLIAMENT,79,11,23,16,4.85,,N,missing,missing,missing,missing,0,0.05,missing,missing,missing,missing,,missing,missing,,missing,missing
PARROT,145,9,21,1,6.28,,N,0.50,0.950,0.38,1.120,3,0.06,missing,missing,missing,missing,,missing,missing,,missing,missing
